id,female,black,latin,white,employed,wage,collgrad,age,parent_college,numkids,efc
513,0,0,1,0,0,11.46,0,35,0,1,0.8947364
515,1,0,1,0,1,20.25,0,34,0,0,0
516,0,0,1,0,0,NA,0,34,0,0,0
517,0,0,1,0,0,25.96,0,36,0,1,0
518,1,0,1,0,1,10,0,34,0,1,0
519,1,0,1,0,1,16.2,0,37,0,4,0
520,0,0,1,0,1,16,0,36,0,0,0
521,0,0,1,0,1,11.75,0,34,0,0,4.4928729999999995
522,0,0,1,0,1,19,0,34,0,0,0
523,1,0,0,1,0,NA,0,37,0,3,1.226292
525,0,0,1,0,1,12.82,0,35,0,0,0
527,0,0,0,1,0,NA,1,36,1,0,37.255720000000004
528,1,0,0,1,0,25.43,0,35,0,2,43.518029999999996
529,1,0,1,0,1,31,1,35,0,0,0
530,1,0,0,1,0,NA,1,35,1,0,15.287690000000001
534,1,0,1,0,0,25,0,36,0,2,0
535,1,0,0,1,1,120,1,37,1,4,0
536,0,0,1,0,0,28.89,1,35,0,0,0
537,0,0,0,1,1,19.79,0,35,0,1,1.572558
538,1,0,0,1,0,17.5,0,34,0,1,1.572558
540,1,0,1,0,1,12,0,35,1,2,1.555298
542,1,1,0,0,0,55.58,1,33,1,0,16.53415
545,0,1,0,0,0,NA,0,36,0,0,0
547,0,0,0,1,0,NA,1,33,1,0,0
548,1,0,0,1,1,16.61,0,33,0,0,14.37375
549,0,0,0,1,1,39.91,0,36,1,0,25.48042
551,0,0,0,1,1,35.47,1,36,1,0,60.943400000000004
554,0,0,0,1,1,16.31,0,36,0,0,1.001526
555,0,0,0,1,1,60.1,1,33,1,0,0
557,1,0,1,0,0,26.06,1,36,1,2,2.551144
558,0,0,0,1,1,45.6,1,35,0,2,26.42625
560,1,0,0,1,0,NA,0,36,0,5,2.418814
561,0,0,0,1,1,25.12,0,33,0,2,2.418814
562,1,0,1,0,0,NA,0,34,0,0,0.8030822
563,0,0,0,1,0,NA,0,35,0,2,2.777126
564,0,0,0,1,1,43.9,0,34,0,3,5.7928999999999995
565,0,0,1,0,1,20,1,35,0,2,0
566,1,0,1,0,0,NA,0,35,0,2,0
567,0,0,0,1,1,46.51,0,37,0,0,7.690834
568,0,0,0,1,1,37,0,36,0,0,7.690834
570,1,0,0,1,0,NA,0,35,0,3,8.119035
571,0,0,0,1,1,23.84,0,37,0,0,10.10194
573,1,0,1,0,0,36,0,36,0,1,0.3037473
574,1,0,1,0,0,NA,0,34,0,6,0.3037473
576,0,0,0,1,1,34.54,0,36,1,0,10.7813
577,0,0,0,1,1,31.98,0,33,1,3,10.7813
578,0,0,0,1,1,15,0,35,0,2,6.062583
579,1,0,0,1,1,30,1,37,0,1,2.4347689999999997
580,0,0,0,1,1,14,0,34,0,0,2.357126
581,0,0,0,1,0,NA,1,35,0,0,0
583,1,0,0,1,1,10,0,36,1,1,0.8990811
584,1,0,0,1,1,35.34,1,36,0,2,0.8469395
585,1,0,0,1,1,25.23,1,34,0,2,0.8469395
586,0,0,1,0,1,13.11,0,37,0,0,2.112992
587,1,0,1,0,0,NA,0,34,0,4,2.112992
589,0,0,0,1,0,NA,0,34,0,0,0
590,0,0,0,1,1,13.26,0,34,0,0,6.189558
591,1,0,1,0,1,40.04,1,35,0,3,0
592,1,0,1,0,1,21.92,0,33,0,0,0
593,1,0,1,0,0,27,0,36,0,0,3.011693
594,1,1,0,0,0,8.25,0,37,0,4,0.9703909
595,1,1,0,0,1,33.4,0,36,0,4,0.9703909
597,1,0,0,1,0,NA,0,35,0,0,2.3420300000000003
598,0,0,1,0,1,44,1,36,0,2,5.6383280000000005
600,0,0,1,0,1,20.48,0,33,0,0,0
601,1,0,1,0,0,NA,0,37,0,4,0
